id,name,count,url,related
a5924bd8-9bb4-4bc1-bcd4-fd4a13f2fa9d,Mekong Delta,4,https://musicbrainz.org/artist/a5924bd8-9bb4-4bc1-bcd4-fd4a13f2fa9d,/artist/a5924bd8-9bb4-4bc1-bcd4-fd4a13f2fa9d
427ff25b-7948-4b61-884b-3d2a1a87d79f,Hellwitch,3,https://musicbrainz.org/artist/427ff25b-7948-4b61-884b-3d2a1a87d79f,/artist/427ff25b-7948-4b61-884b-3d2a1a87d79f
6d6b617a-f1ab-462a-8bb2-c934eda37668,Watchtower,3,https://musicbrainz.org/artist/6d6b617a-f1ab-462a-8bb2-c934eda37668,/artist/6d6b617a-f1ab-462a-8bb2-c934eda37668
c30ebe30-514f-4e6d-823a-19adf0225a56,Annihilator,2,https://musicbrainz.org/artist/c30ebe30-514f-4e6d-823a-19adf0225a56,/artist/c30ebe30-514f-4e6d-823a-19adf0225a56
04a28858-f03c-49b4-84bf-e14846b4324a,Аспид,2,https://musicbrainz.org/artist/04a28858-f03c-49b4-84bf-e14846b4324a,/artist/04a28858-f03c-49b4-84bf-e14846b4324a
509dc5b1-f264-43f3-9035-473e7020e77f,Coroner,2,https://musicbrainz.org/artist/509dc5b1-f264-43f3-9035-473e7020e77f,/artist/509dc5b1-f264-43f3-9035-473e7020e77f
8205db79-3462-4dca-a9ad-f1abbfaf547d,Miscreance,2,https://musicbrainz.org/artist/8205db79-3462-4dca-a9ad-f1abbfaf547d,/artist/8205db79-3462-4dca-a9ad-f1abbfaf547d
088ff671-d84e-42a3-b1b2-d43c8d156c8d,Realm,2,https://musicbrainz.org/artist/088ff671-d84e-42a3-b1b2-d43c8d156c8d,/artist/088ff671-d84e-42a3-b1b2-d43c8d156c8d
2441c9e6-7e05-44f1-8da9-62025df367ab,Revocation,2,https://musicbrainz.org/artist/2441c9e6-7e05-44f1-8da9-62025df367ab,/artist/2441c9e6-7e05-44f1-8da9-62025df367ab
c5119d8a-ffee-48bc-99c3-f323bdf16d82,Vektor,2,https://musicbrainz.org/artist/c5119d8a-ffee-48bc-99c3-f323bdf16d82,/artist/c5119d8a-ffee-48bc-99c3-f323bdf16d82
6ebf2ab8-c317-4a2a-9b3f-46c1fa72020c,Acid Reign,1,https://musicbrainz.org/artist/6ebf2ab8-c317-4a2a-9b3f-46c1fa72020c,/artist/6ebf2ab8-c317-4a2a-9b3f-46c1fa72020c
8b76af24-e33a-4818-8488-9451f742c307,Acrimony,1,https://musicbrainz.org/artist/8b76af24-e33a-4818-8488-9451f742c307,/artist/8b76af24-e33a-4818-8488-9451f742c307
c50b6526-30cc-4782-850f-71b295773e1e,Alarum,1,https://musicbrainz.org/artist/c50b6526-30cc-4782-850f-71b295773e1e,/artist/c50b6526-30cc-4782-850f-71b295773e1e
aff5dfe1-0109-4986-aed2-afdd2633abff,Alitor,1,https://musicbrainz.org/artist/aff5dfe1-0109-4986-aed2-afdd2633abff,/artist/aff5dfe1-0109-4986-aed2-afdd2633abff
d15aa52a-ee07-4260-8e7e-6af8992e4fe2,Anoxia,1,https://musicbrainz.org/artist/d15aa52a-ee07-4260-8e7e-6af8992e4fe2,/artist/d15aa52a-ee07-4260-8e7e-6af8992e4fe2
66cbf018-d077-4119-86e6-61993a5fa874,Antithesis,1,https://musicbrainz.org/artist/66cbf018-d077-4119-86e6-61993a5fa874,/artist/66cbf018-d077-4119-86e6-61993a5fa874
bd7febcc-fa2c-498a-a48b-9cf2be54dfed,Artillery,1,https://musicbrainz.org/artist/bd7febcc-fa2c-498a-a48b-9cf2be54dfed,/artist/bd7febcc-fa2c-498a-a48b-9cf2be54dfed
b0f8a148-c7cd-4cae-ac5d-b390ec34f4ef,Believer,1,https://musicbrainz.org/artist/b0f8a148-c7cd-4cae-ac5d-b390ec34f4ef,/artist/b0f8a148-c7cd-4cae-ac5d-b390ec34f4ef
326676f7-80a6-412f-87dc-e25142c18593,Bestial Invasion,1,https://musicbrainz.org/artist/326676f7-80a6-412f-87dc-e25142c18593,/artist/326676f7-80a6-412f-87dc-e25142c18593
57c18db4-2b27-4063-9205-bb2fa87a2266,Blind Illusion,1,https://musicbrainz.org/artist/57c18db4-2b27-4063-9205-bb2fa87a2266,/artist/57c18db4-2b27-4063-9205-bb2fa87a2266
ce3fc828-d01d-482b-828d-dd6751eb7b53,Chemical Breath,1,https://musicbrainz.org/artist/ce3fc828-d01d-482b-828d-dd6751eb7b53,/artist/ce3fc828-d01d-482b-828d-dd6751eb7b53
be76fabe-bd68-4aa0-8f5b-9327b52c622c,Critical Extravasation,1,https://musicbrainz.org/artist/be76fabe-bd68-4aa0-8f5b-9327b52c622c,/artist/be76fabe-bd68-4aa0-8f5b-9327b52c622c
