rank,title,videoId,views,dailyViews,url
43,"Kuch Kuch Hota Hai Full Video - Title Track|Shahrukh Khan,Kajol,Rani Mukerji|Alka Yagnik",-ijfNEF7-JY,87079670,20683,https://youtube.com/watch?v=-ijfNEF7-JY
44,"Sara Paula Gómez Arias - Cuán lejos voy (De ""Moana: un mar de aventuras""/Con letra)",YVulqpiD7Pw,83352051,23877,https://youtube.com/watch?v=YVulqpiD7Pw
45,Los Ángeles Azules - El Listón De Tu Pelo (Video Oficial),1XhyuRVf9B4,81635686,26750,https://youtube.com/watch?v=1XhyuRVf9B4
46,Chris Brown - Wall To Wall (Official HD Video),-MXOspWx7ic,80555955,9822,https://youtube.com/watch?v=-MXOspWx7ic
47,Lykke Li - I Follow Rivers (The Magician Remix),oS6wfWu0JvA,80340292,709,https://youtube.com/watch?v=oS6wfWu0JvA
48,Tiziano Ferro - El Regalo Mas Grande,Uqg4Y6N53k0,78200057,17342,https://youtube.com/watch?v=Uqg4Y6N53k0
49,"Roberto Garcia - Brilhe (De ""Moana: um mar de aventuras""/Com letra)",r2XgqJpN7yY,76653638,54328,https://youtube.com/watch?v=r2XgqJpN7yY
50,Franco de Vita - A Medio Vivir (Vuelve en Primera Fila - Live Version) ft. Gianmarco,LV-_fUJc6GA,76171290,17475,https://youtube.com/watch?v=LV-_fUJc6GA
51,Kelsea Ballerini - Peter Pan (Official Music Video),JmU0b8bxlG8,76164113,8164,https://youtube.com/watch?v=JmU0b8bxlG8
52,"Major Lazer - Cold Water (Dance Video) ft. Justin Bieber, MØ",fMvIARf_SUU,75789542,777,https://youtube.com/watch?v=fMvIARf_SUU
53,"I Am Moana (Song of the Ancestors) (From ""Moana""/Sing-Along)",SgXpsZa8_i4,74691964,22313,https://youtube.com/watch?v=SgXpsZa8_i4
54,Freddie Mercury - How Can I Go On,akdAvg8SO1A,73259870,5338,https://youtube.com/watch?v=akdAvg8SO1A
