rank,title,videoId,views,dailyViews,url
1,Avicii - Wake Me Up (Official Video),IcrbM1l_BoI,2418110539,273815,https://youtube.com/watch?v=IcrbM1l_BoI
2,Nirvana - Smells Like Teen Spirit (Official Music Video),hTWKbfoikeg,1948393182,392764,https://youtube.com/watch?v=hTWKbfoikeg
3,Queen – Bohemian Rhapsody (Official Video Remastered),fJ9rUzIMcZQ,1883751791,428250,https://youtube.com/watch?v=fJ9rUzIMcZQ
4,Michael Jackson - Billie Jean (Official Video),Zi_XLOBDo_Y,1782801524,1184969,https://youtube.com/watch?v=Zi_XLOBDo_Y
5,Whitney Houston - I Will Always Love You (Official 4K Video),3JWTaaS7LdU,1717962034,721682,https://youtube.com/watch?v=3JWTaaS7LdU
6,The Cranberries - Zombie (Official Music Video),6Ejga4kJUts,1641468207,506021,https://youtube.com/watch?v=6Ejga4kJUts
7,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",V1bFr2SWP1I,1475625086,282857,https://youtube.com/watch?v=V1bFr2SWP1I
8,George Michael - Careless Whisper (Official Video),izGwDsrQ1eQ,1358323790,534662,https://youtube.com/watch?v=izGwDsrQ1eQ
9,Audioslave - Like a Stone (Official Video),7QU1nvuxaMA,1315079597,323304,https://youtube.com/watch?v=7QU1nvuxaMA
10,XXXTENTACION - SAD!,pgN-vvVVxMA,1261491218,109630,https://youtube.com/watch?v=pgN-vvVVxMA
11,Avicii - Waiting For Love,cHHLHGNpCSA,1238640590,323114,https://youtube.com/watch?v=cHHLHGNpCSA
12,XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),GX8Hg6kWQYI,1222581299,393723,https://youtube.com/watch?v=GX8Hg6kWQYI
13,Amy Winehouse - Back To Black,TJAfLE39ZZ8,1208588477,371755,https://youtube.com/watch?v=TJAfLE39ZZ8
